pin_int,unique_1cx,total_orders,total_revenue
141007,121,129,250806.3
141008,232,258,436512.54
141009,5,5,6368.0
141010,137,150,267880.65
141011,6,8,17165.0
141012,130,138,210113.9
141013,143,161,250332.35
141014,24,25,48437.1
141015,71,77,143494.55
141016,21,21,35671.2
141017,6,6,11424.0
141021,1,1,2069.1
141029,1,1,900.0
141101,18,21,34164.1
141102,7,8,8954.0
141103,3,3,8020.0
141104,14,14,25678.1
141105,11,11,22539.0
141106,13,15,38840.0
141107,5,5,7542.0
141108,9,10,14505.0
141109,27,31,54913.0
141110,8,8,22474.0
141112,11,11,20723.0
141113,5,6,15743.0
141114,28,28,50396.15
141115,34,36,73955.2
141116,38,43,86272.0
141117,5,6,9414.0
141118,5,6,9645.0
141119,5,5,5192.1
141120,51,60,105477.55
141121,5,5,8590.0
141122,13,13,21102.1
141123,19,21,40048.2
141124,2,2,4685.0
141125,2,3,7750.0
141126,2,2,5350.0
141201,2,2,2574.0
141202,2,2,3600.0
141203,6,7,10478.0
141204,3,3,5724.0
141205,2,2,764.0
141206,7,7,8504.0
141301,1,1,0.0
141309,1,1,3420.0
141401,100,108,186018.15
141411,3,3,3709.0
141412,5,5,9395.0
141413,3,3,6135.0
141414,2,2,3755.0
141415,9,11,19754.0
141416,11,12,16977.0
141417,4,4,9774.0
141418,4,4,8470.0
141419,5,5,7832.1
141421,22,24,56957.0
141422,2,2,2455.0
141608,1,2,1800.0
141801,15,18,25232.2
142001,164,185,314271.4
142002,4,5,3864.0
142011,8,8,12334.0
142021,8,11,17091.0
142022,25,27,40941.0
142023,6,6,9545.0
142024,4,4,9014.0
142025,6,7,16000.0
142026,67,71,137145.1
142027,19,23,46827.0
142028,2,2,4957.0
142029,6,6,9598.0
142030,7,8,12047.0
142032,8,10,18597.0
142033,9,10,21637.0
142034,3,4,11610.0
142035,7,7,11280.0
142036,3,3,6360.0
142037,15,17,32854.0
142038,19,19,38960.25
142039,8,8,18788.0
142040,1,1,874.0
142041,4,4,11735.0
142042,33,35,67857.1
142043,17,17,25194.0
142044,11,11,16000.1
142045,1,1,3800.0
142046,2,2,4280.0
142047,33,38,62784.05
142048,6,7,12769.1
142049,9,9,25760.0
142050,18,21,33915.1
142051,1,2,2400.0
142052,7,8,13174.0
142053,6,6,11624.0
142054,4,4,5809.0
142055,12,13,24827.0
142056,3,3,5234.0
142057,4,5,7582.0
142058,5,5,7008.0
142060,7,7,9395.0
