area,code,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02
Sec-35,1019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.78181818181818,23.351860465116278,21.367384615384616,18.54825490196078,16.55891964285714,20.18348623853211,17.449664429530202,23.703703703703706,24.802880000000002,23.956043956043956,28.666666666666664,30.37037037037037,29.044776119402986,27.9844578313253,32.75591176470588
Jalandhar,1020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.378260869565217,20.180243902439024,19.569017543859648,18.71309090909091,21.311475409836063,17.204301075268816,22.077922077922082,21.9981981981982,20.133333333333333,23.103448275862068,25.454545454545457,24.392857142857142,28.921909090909093,42.1259
Mall Rd,1022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.46666666666667,17.852413793103448,18.015535714285715,17.071150602409638,18.46153846153846,17.241379310344826,21.21212121212121,20.261306306306306,24.48717948717949,26.53061224489796,28.333333333333332,25.105263157894736,32.65288888888889,27.39559090909091
Ballupur Rd,1042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.076923076923077,16.94125,21.617582417582415,21.111111111111114,25.471698113207548,26.666666666666668,34.31914893617021,36.85845714285714,36.50932
Model Town,1012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.513146067415732,24.37962962962963,19.377159090909092,19.253535353535355,21.098758333333336,23.913043478260867,21.56862745098039,20.0,22.62754601226994,20.396825396825395,22.98850574712644,31.034482758620687,40.431372549019606,43.159340909090915,29.68048
Civil Lines,1013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.003225806451617,29.20553191489362,22.938490566037736,20.15774647887324,21.70038961038961,26.0,22.857142857142858,23.076923076923077,24.42712,22.596153846153847,26.794871794871792,27.926829268292686,31.013513513513512,33.47955844155844,47.589
Gomati,1018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.703125000000002,25.739473684210523,19.822578125,24.52970326732673,21.75758227848101,21.73913043478261,22.459893048128343,23.645320197044335,21.49255707762557,22.84313725490196,21.428571428571427,30.28846153846154,32.287499999999994,35.64827777777778,28.142296296296294
Mahmoorganj,1026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.14,14.620253164556962,21.89891304347826,20.472440944881892,20.967741935483872,18.18181818181818,18.936,21.72661870503597,18.817204301075268,24.857142857142854,27.740259740259738,29.56242105263158,28.336928571428572
Elegin Rd,1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9025641025641,25.921052631578945,26.34920634920635,26.785714285714285,27.089285714285715,29.32694230769231,28.2001
KankarBagh,1037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.535211267605636,21.138211382113823,25.0,24.155485549132948,22.53012048192771,23.241379310344826,27.20779220779221,33.63265306122449,34.667102941176466,26.60439583333334
